set_id,month,card_number,card_name,rarity,raw_price,psa_10_price,psa_9_price,tag_10_price,ace_10_price,cgc_10_price,bgs_10_price,bgs_10_black_label_price,cgc_10_pristine_price
sv01,2023-03,227,Miraidon ex,ultra_rare,28.20,,,,,,,,
sv01,2023-03,241,Professor's Research (Professor Turo),ultra_rare,14.53,,,,,,,,
sv01,2023-03,199,Tarountula,illustration_rare,3.13,,,,,,,,
sv01,2023-03,245,Gardevoir ex,special_illustration_rare,105.03,555.32,144.45,,,,,,
sv01,2023-03,209,Pawmot,illustration_rare,9.05,,,,,,,,
sv01,2023-03,220,Kingambit,illustration_rare,17.49,,,,,,,,
sv01,2023-03,246,Great Tusk ex,special_illustration_rare,44.00,250.08,66.35,,,,,,
sv01,2023-03,125,Koraidon ex,double_rare,5.80,,,,,,,,
sv01,2023-03,204,Slowpoke,illustration_rare,8.32,,,,,,,,
sv01,2023-03,236,Jacq,ultra_rare,8.50,,,,,,,,
sv01,2023-03,237,Katy,ultra_rare,25.43,,,,,,,,
sv01,2023-03,213,Fidough,illustration_rare,5.04,,,,,,,,
sv01,2023-03,216,Sandile,illustration_rare,6.10,60.51,17.86,,,,,,
sv01,2023-03,256,Rare Candy,hyper_rare,17.24,,,,,,,,
sv01,2023-03,238,Miriam,ultra_rare,78.34,,,,,,,,
sv01,2023-03,201,Toedscool,illustration_rare,4.25,,,,,,,,
sv01,2023-03,208,Pachirisu,illustration_rare,8.44,,,,,,,,
sv01,2023-03,219,Bombirdier,illustration_rare,5.50,,,,,,,,
sv01,2023-03,065,Magnezone ex,double_rare,6.26,,,,,,,,
sv01,2023-03,123,Great Tusk ex,double_rare,2.88,,,,,,,,
sv01,2023-03,239,Penny,ultra_rare,36.96,,,,,,,,
sv01,2023-03,200,Dolliv,illustration_rare,5.50,,,,,,,,
sv01,2023-03,203,Armarouge,illustration_rare,7.50,,,,,,,,
sv01,2023-03,221,Starly,illustration_rare,8.50,,,,,,,,
sv01,2023-03,252,Penny,special_illustration_rare,50.00,,,,,,,,
sv01,2023-03,253,Miraidon ex,hyper_rare,38.00,,,,,,,,
sv01,2023-03,225,Gyarados ex,ultra_rare,36.66,,,,,,,,
sv01,2023-03,229,Banette ex,ultra_rare,36.34,,,,,,,,
sv01,2023-03,233,Iron Treads ex,ultra_rare,9.84,,,,,,,,
sv01,2023-03,214,Greavard,illustration_rare,10.00,,,,,,,,
sv01,2023-03,222,Skwovet,illustration_rare,4.98,,,,,,,,
sv01,2023-03,244,Miraidon ex,special_illustration_rare,104.01,,,,,,,,
sv01,2023-03,255,Nest Ball,hyper_rare,31.00,,,,,,,,
sv01,2023-03,131,Toxicroak ex,double_rare,4.41,,,,,,,,
sv01,2023-03,158,Oinkologne ex,double_rare,8.43,,,,,,,,
sv01,2023-03,228,Gardevoir ex,ultra_rare,31.75,,,,,,,,
sv01,2023-03,251,Miriam,special_illustration_rare,205.49,1057.78,273.00,,,,,,
sv01,2023-03,224,Arcanine ex,ultra_rare,37.31,,,,,,,,
sv01,2023-03,210,Drowzee,illustration_rare,35.00,,,,,,,,
sv01,2023-03,217,Klawf,illustration_rare,2.75,,,,,,,,
sv01,2023-03,247,Koraidon ex,special_illustration_rare,88.82,,,,,,,,
sv01,2023-03,143,Iron Treads ex,double_rare,2.25,,,,,,,,
sv01,2023-03,226,Magnezone ex,ultra_rare,3.25,,,,,,,,
sv01,2023-03,086,Gardevoir ex,double_rare,18.66,,,,,,,,
